year notice was documented,notice_date,company,business_type,dislocation
2019,8/9/2019,PAE Field Offices Support Services (FOSS),Support and professional services focused on national security customers.,Contract Loss/End
2019,7/8/2019,Empire Paratransit Corp.,Transportation service provider,Contract Loss/End
2019,7/1/2019,Columbia University (Early Head Start Program),Transportation service provider,Contract Loss/End
2019,7/1/2019,"Advance Transit Co., Inc.",Provides transportation throughout the five boroughs of NYC for people with disabilities.,Contract Loss/End
2019,5/31/2019,"Imperial Distributors, Inc. (at Stop and Shop stores in New York State)",Merchandising products in Grocery Stores,Contract Loss/End
2019,3/4/2019,General Dynamics Information Technology,IT service management,Contract Loss/End
2019,3/29/2019,"Sodexo, Inc. (at Ithaca College)",Food Service Contractors,Contract Loss/End
2019,2/5/2019,Concentrix CVG Corporation (Formerly Convergys Corporation),Inbound Call Center,Contract Loss/End
2019,4/12/2019,"Sodexo, Inc. (at Westchester Medical Center)",Perform ES/Custodial Services,Contract Loss/End
2019,4/15/2019,"Aramark Educational Services, LLC (at Barnard College & Java City)","Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses.",Contract Loss/End
2019,4/16/2019,Concentrix CVG Corporation (formerly Convergys Corporation),Inbound Call Center,Contract Loss/End
2019,4/1/2019,Transit Management of Dutchess County,Dutchess County Public Transit bus system operator,Contract Loss/End
2019,4/1/2019,"Sodexo, Inc. (at Mohawk Valley Community College)",Food Service Contractor,Contract Loss/End
2019,3/29/2019,"Aramark Educational Services, LLC (at New York University)","Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses around the world",Contract Loss/End
2019,3/29/2019,"Sodexo, Inc. (at Ithaca College)",Food Service Contractors,Contract Loss/End
2019,1/29/2019,Concentrix CVG Corporation,"Inbound Call Center; Customer Service, Technical Support",Contract Loss/End
2019,3/13/2019,Centerplate,Food Services,Contract Loss/End
2019,3/4/2019,"Aramark Educational Services, LLC","Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses",Contract Loss/End
2019,2/12/2019,"Fluor Enterprises, Inc.",Construction project management,Contract Loss/End
2019,2/12/2019,"Fluor Industrial Services, Inc.",Construction project management,Contract Loss/End
2019,2/12/2019,Walmart,Construction project management,Contract Loss/End
2019,2/6/2019,"Eclipse Advantage, LLC",Unloading services with Union Pacific/Cold Connect.,Contract Loss/End
2019,2/5/2019,Concentrix CVG Corporation (formerly Convergys Corporation),Inbound Call Center,Contract Loss/End
