year notice was documented,notice_date,company,business_type,dislocation,classification
2018,9/25/2018,Maritima LLC dba LaSirena,Restaurant,Economic,Plant Closing
2018,9/24/2018,"Bigname Commerce, LLC",Stationary Product Manufacturing,Relocation,Plant Closing
2018,9/24/2018,VillageCare Health Home,Home care services,Economic,Plant Closing
2018,9/20/2018,Eastman Kodak Company,Photographic equipment and Supplies,Economic,Plant Layoff
2018,9/18/2018,Eastman Kodak Company,Photographic equipment and Supplies,Economic,Plant Layoff
2018,9/20/2018,"Sears, Roebuck and Co. Full Line Store #01504",Retail Store,Economic,Plant Closing
2018,9/24/2018,P.W. Minor LLC,Footwear manufacturing and marketing,Economic,"Possible Plant Layoff, Possible Plant Closing"
2018,9/19/2018,Sterling National Bank,Financial Institution,Acquisition/Sale,Plant Layoff
2018,9/17/2018,"Barron's Educational Series, Inc.",Educational services,Acquisition/Sale,Plant Closing
2018,9/6/2018,Sterling National Bank,Financial Institution,Acquisition/Sale,Plant Layoff
2018,6/28/2018,Hebeler LLC,Machinery Manufacturer,Decline in Business with Major Customer,Plant Layoff
2018,9/17/2018,"Avon Products, Inc.","Direct selling company in beauty, household, and personal care categories.",Economic,Plant Closing
2018,9/14/2018,"Conduent Education Services, LLC",Education Services,Restructuring,Plant Closing
2018,9/13/2018,Eastman Kodak Company (Eastman Business Park),Photographic equipment and Supplies,Economic,Plant Layoff
2018,9/14/2018,Newsday LLC,Newspaper print and distribution,Economic,Plant Unit Closing
2018,9/14/2018,"Signature 102 North End Ave LLC, dba North End Grill",Restaurant,Economic,Plant Closing
2018,6/28/2018,Newsday LLC,Newspaper print and distribution,Economic,Plant Unit Closing
2018,3/9/2018,Newsday LLC,Newspaper print and distribution functions.,Economic,Plant Unit Closing
2018,3/22/2018,Newsday LLC,Newspaper print and distribution,Economic,Plant Unit Closing
2018,9/13/2018,Henri Bendel,"High-end bags, jewelry, gifts & accessories, some with the signature brown & white stripes.",Economic,Plant Closing
2018,7/17/2018,Lighthouse Guild (Heilbrunn),Provides education and therapeutic services to children who are blind or visually-impaired or have other disabilities,Economic,Plant Closing
2018,9/10/2018,"FJC Security Services, Inc.",Security services for various hotel-based homeless shelters in NYC,Contract Loss/End,Plant Closing
2018,7/13/2018,Special Funds Conservation Committee,Process special Workers’ Compensation cases,Economic,Plant Closing
2018,4/25/2018,Umami Burger at the Hudson Hotel,Food services,Economic,Plant Closing
2018,9/6/2018,Sterling National Bank,Financial Institution,Acquisition/Sale,Plant Layoff
2018,8/22/2018,Sears Full Line Store (Unit #01584),Retail Store,Economic,Plant Closing
2018,5/31/2018,Kmart Store Unit # 03861 (Kmart Corporation),Department Store,Economic,Plant Closing
2018,6/28/2018,Hebeler LLC,Machinery Manufacturer,Decline in Business with Major Customer,Plant Layoff
2018,6/28/2018,Hebeler Process Solutions LLC,Machinery Manufacturer,Decline in Business with Major Customer,Plant Layoff
2018,8/21/2018,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2018,8/30/2018,Eastman Kodak Company (Kodak Office),Photographic Equipment and Supplies,Economic,Plant Layoff
2018,8/28/2018,Eastman Kodak Company (Kodak Office),Photographic Equipment and Supplies,Economic,Plant Layoff
2018,8/29/2018,"Tops Markets, LLC (Str#370 Westvale)",American supermarket chain,Economic,Plant Closing
2018,8/31/2018,State Farm Mutual Automobile Insurance Company (Lakeville Operations Center),Provide insurance and financial services,Economic,Plant Closing
2018,8/23/2018,Wells Fargo (Retail Fulfillment Unit),Bank,Economic,Plant Unit Closing
2018,8/27/2018,GuildNet (Lighthouse Guild),Provides full spectrum of integrated vision + healthcare services,Economic,Plant Closing
2018,8/27/2018,GuildNet (Lighthouse Guild),Provides full spectrum of integrated vision + healthcare services,Economic,Plant Closing
2018,8/28/2018,"GlobalFoundries U.S., Inc.",Semiconductor and Related Device Manufacturing,Economic,Plant Layoff
2018,8/21/2018,"Fitzpatrick, Cella, Harper & Scinto",Intellectual property firm,Merger,Plant Closing
2018,4/25/2018,Umami Burger at the Hudson Hotel,Food services,Economic,Plant Closing
2018,8/21/2018,Kmart Store #04868  (Kmart Corporation),Retail Store,Economic,Plant Closing
2018,8/21/2018,"Sears, Roebuck and Co. Full Line Store #02933",Retail Store,Economic,Plant Closing
2018,8/22/2018,Baxter Healthcare,Medical Device Manufacturing and Service,Restructuring,Plant Layoff
2018,8/20/2018,Sterling National Bank (Greenvale Financial Center),Financial Institution,Acquisition/Sale,Plant Closing
2018,8/20/2018,"Revival Pharmacy, LLC d/b/a Citywide Pharmacy",Pharmacy service to long term care facilities,Acquisition/Sale,Plant Closing
2018,8/17/2018,"Conduent Education Services, LLC",Pharmacy service to long term care facilities,Restructuring,Plant Closing
2018,8/14/2018,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2018,5/1/2018,"Harbor Footwear Group, Ltd.","Footwear Merchant, Whole r",Economic,Plant Closing
2018,8/15/2018,"Floyd Bus Co., Inc.",Transportation,Contract Loss/End,Plant Layoff
2018,8/10/2018,"Compass Group USA, Inc. dba Chartwells (@ College of Mount St. Vincent)",Food Services provider,Contract Loss/End,Plant Closing
2018,7/10/2018,Sitel Operating Corporation (Painted Post),"Business process outsourcing company, provides telephone call center services",Decline in Business with Major Customer,Plant Unit Closing
2018,8/9/2018,"Warner Media, LLC (formerly Time Warner Inc.)",Media services,Merger,Plant Layoff
2018,8/1/2018,CenterLight Health System,Skilled nursing and residential health care facility,Acquisition/Sale,Plant Closing
2018,8/8/2018,Laboratory Corporation of America Holdings,Medical Laboratory,Relocation,Plant Layoff
2018,3/16/2018,Gannett Publishing Services,Commercial Printing,Economic,Plant Closing
2018,8/5/2018,Best Buy Store #1183,Electronics and Appliance Store,Economic,Plant Closing
2018,8/1/2018,CenterLight Certified Home Health Agency (CHHA),Home Health Care,Economic,Plant Closing
2018,7/31/2018,"Investopedia, Inc.",Financial news and information,Economic,Plant Layoff
2018,5/7/2018,Aptos Inc.,Software developers,Economic,Plant Closing
2018,8/2/2018,Sterling National Bank (Nyack Financial Center),Financial Institution,Acquisition/Sale,Plant  Closing
2018,7/13/2018,Special Funds Conservation Committee,Process special Workers’ Compensation cases,Economic,Plant Closing
2018,8/3/2018,"Catholic Charities  Neighborhood Services, Inc. (Hillcrest Senior Center)",Social services organization,Contract Loss/End,Plant Closing
2018,8/2/2018,CSRA,Provide information technology services to U.S. government clients,Contract Loss/End,Plant Closing
2018,8/1/2018,"Hologic, Inc.",Irradation Aparatus manufacturing,Economic,Plant Closing
2018,8/1/2018,"Pfizer, Inc.",Pharmaceuticals (production),Economic,Plant Closing
2018,7/23/2018,"Compass Group, USA,  Inc.(Restaurant Associates @ Rockefeller University)",Food Services provider,Contract Loss/End,Plant Closing
2018,7/24/2018,"Tribune 365, LLC",Digital Services,Economic,Plant Layoff
2018,7/25/2018,Eastman Kodak Company (Kodak  Office),Photographic equipment and Supplies,Economic,Plant Layoff
2018,7/24/2018,Walmart (Store #3441),Retail Store,Economic,Plant Closing
2018,7/25/2018,Aptos Inc.,Software developers,Economic,Plant Closing
2018,7/18/2018,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2018,7/23/2018,Daily News,Newspaper,Economic,Plant Layoff
2018,4/25/2018,Umami Burger at the Hudson Hotel,Food services,Economic,Plant Closing
2018,12/29/2017,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)",Warehousing/Distribution and after  s service,Economic,Plant Unit Closing
2018,7/17/2018,Aptos Inc.,Software developers,Economic,Plant Closing
2018,7/16/2018,Sterling National Bank (Melville Financial Center),Financial Institution,Acquisition/Sale,Plant Closing
2018,7/17/2018,Advanced Motors and Drives,"Manufacturers of custom, special purpose low-voltage wound field DC and AC traction and pump motors",Economic,Plant Layoff
2018,4/20/2018,Easter Seals New York,Helps people with disabilities with therapy,Economic,Plant Closing
2018,7/12/2018,"Compass Group, USA, Inc.",Food services provider,Contract Loss/End,Plant  Closing
2018,7/13/2018,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)",Restaurants,End of Lease,Plant Closing
2018,7/13/2018,Canandaigua Hotel Corporation dba the Inn on the Lake (IOTL),Waterfront Resort and Conference Center,Construction,Plant Closing
2018,7/12/2018,Kmart Corporation (Unit #09419),Department Store,Economic,Plant Closing
2018,7/10/2018,Sitel Operating Corporation (Painted Post),"Business process outsourcing company, provides telephone call center services",Decline in Business with Major Customer,Plant Unit Closing
2018,7/12/2018,Xylem Inc. (Global Financial Shared Services Department),Developing innovative water solutions through smart technology,Economic,Plant Layoff
2018,7/9/2018,Sterling National Bank (East Rockaway Financial Center),Financial Institution,Acquisition/Sale,Plant Closing
2018,7/8/2018,"Union Square Catering Facility, Inc. (The Coffee Shop)",Restaurant,Economic,Plant Closing
2018,7/6/2018,"Conduent Education Services, LLC",Educational Services,Restructuring,Plant Closing
2018,5/7/2018,"Forty Six O Seven Co., Inc. (IHOP #4607)",Restaurant,End of Lease,Plant Closing
2018,12/1/2017,"Amesbury Truth, Inc.",Provider of products in the window and door industry.,Relocation,Plant Closing
2018,6/1/2018,Cardinal McCloskey Community Services - Head Start Programs,Pre-School,Contract Loss/End,Plant Unit Closing
2018,6/29/2018,"Chipotle Mexican Grill, Inc. (NYC Office)",Chipotle's New York Office,Economic,Plant Closing
2018,6/28/2018,Sears Full Line Store #01623,Retail Store,Economic,Plant Closing
2018,6/27/2018,Envolve - New York Inc.,Healthcare Services,Restructuring,Plant Closing
2018,6/29/2018,"Vanguard Graphics LLC, aka Vanguard Printing LLC",Commercial Printing,Economic,Plant Closing
2018,5/11/2018,Munchery,Online food ordering and meal delivery service,Economic,Plant Closing
2018,6/28/2018,Newsday LLC,Newspaper print and distribution,Economic,Plant Unit Closing
2018,6/28/2018,Hebeler Process Solutions LLC,Machinery Manufacturer,Decline in Business with Major Customer,Plant Layoff
2018,6/28/2018,Hebeler LLC,Machinery Manufacturer,Decline in Business with Major Customer,Plant Layoff
2018,4/27/2018,"Citizen Watch Company of America, Inc.","Credit/Accounts Receivable, Customer Relations, and Finance Operating Units",Economic,Plant Unit Closings
2018,4/27/2018,"Blissworld, LLC (Bliss 49 Spa)","Credit/Accounts Receivable, Customer Relations, and Finance Operating Units",Economic,Plant Closing
2018,6/19/2018,"Capital One, N.A.- Nassau Central, Suffolk North, and Nassau South Market",Bank,Economic,Plant Closings and Layoffs
2018,6/19/2018,"Capital One, N.A.- Boroughs Central and Manhattan South Market",Bank,Economic,Plant Closings and Layoffs
2018,6/25/2018,Sterling National Bank (Great Neck Financial Center),Financial Institution,Acquisition/Sale,Plant Closing
2018,6/27/2018,Exelon,Energy provider,Operations,Plant Layoff
2018,3/9/2018,Newsday LLC,Newspaper print and distribution functions.,Economic,Plant Unit Closing
2018,3/22/2018,Newsday LLC,Newspaper print and distribution,Economic,Plant Unit Closing
2018,3/16/2018,Gannett Publishing Services,Commercial Printing,Economic,Plant Closing
2018,6/27/2018,Channel One (at Houghton Mifflin Harcourt Publishing Company),Global learning company,Economic,Plant Closing
2018,6/25/2018,Seneca Foods Corporation,Food processing,Economic,Plant Closing
2018,3/30/2018,"CAMBA, Inc.",Learning to Work programs.,Economic,Possible  Plant Unit Closing
2018,12/29/2017,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)",Warehousing/Distribution and after  s service,Economic,Plant Unit Closing
2018,8/21/2017,B&H Foto and Electronics Corp. (Navy Yard Facility),Photo and electronics,Relocation,Plant Closing
2018,6/15/2018,"Pfizer, Inc.",Pharmaceuticals (production),Economic,Plant Closing
2018,6/20/2018,DAL Global Services (for Copa Airlines at JFK Int'l Airport),Baggage Handling,Contract Loss/End,Plant Closing
2018,6/25/2018,Aptos Inc.,Software developers,Economic,Plant Closing
2018,3/26/2018,Catholic Guardian Services,Programs for persons with development disabilities,Restructuring,Plant Unit Closing
2018,3/16/2018,"CareConnect Insurance Company, Inc.",Health insurance market,Economic,Plant Closing
2018,6/14/2018,"Metro Athletic Medicine and Fitness, P.C.",Healthcare – Physical Therapy,Contract Loss/End,Plant Layoff
2018,6/12/2018,"Restaurant Associates - Compass Group, USA, Inc. (at Federal Reserve Bank of New York)",Food Services Provider,Contract Loss/End,Plant Closing
2018,6/1/2018,Cardinal McCloskey Community Services - Head Start Programs,Pre-School,Contract Loss/End,Plant Unit Closing
2018,6/1/2018,"Center for Family Support, Inc.",Providing support and assistance to individuals with developmental and related disabilities and to the family members who care for them.,Relocation,Plant Unit Closing
2018,6/4/2018,Chevy's (RM HQ LLC),Restaurant,Economic,Plant Closing
2018,6/8/2018,New York Yankees Steakhouse (Manhattan),Restaurant,Economic,Plant Closing
2018,2/28/2018,"Carthage Specialty Paperboard, Inc.",Manufacturer of recyled paperboard,Economic,Temporary maintenace furlough/possible plant closing
2018,6/6/2018,Sterling National Bank,Financial Institution,Acquisition/Sale,Plant Layoff
2018,5/31/2018,Kmart Store Unit # 03861 (Kmart Corporation),Department Store,Economic,Plant Closing
2018,5/31/2018,Kmart Store Unit # 09418 (Kmart Corporation),Department Store,Economic,Plant Closing
2018,5/31/2018,Wells Fargo (Retail Fulfillment Unit),Bank,Economic,Plant Unit Closing
2018,6/4/2018,"Van Trans, LLC & Attendant, LLC",Transportation,Contract Loss/End,Plant Layoff
2018,6/1/2018,"Pfizer, Inc.",Pharmaceuticals (production),Economic,Plant Closing
2018,5/30/2018,"Jewish Board of Family & Children's Services, Inc.","Hawthorne Cedar Knolls is overseen by the state Office of Children and Family Services and provides mental health, social and therapeutic services to troubled youths who typically have behavior issues.",Economic,Plant Unit Closing
2018,5/30/2018,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2018,5/31/2018,St. John Villa Academy,School,Economic,Plant Closing
2018,2/6/2018,"""21"" Club",Restaurant,Weather related,Temporary Plant Closing
2018,5/31/2018,Lifeline Center for Child Development,Preschool program,Economic,Plant Closing
2018,12/29/2017,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)",Warehousing/Distribution and after  s service,Economic,Plant Unit Closing
2018,5/25/2018,"Volunteers of America-Greater New York, Inc.",Provides staff support and supervision to adults with all ranges of intellectual/developmental disablilites,Economic,Plant Unit Closing
2018,5/31/2018,"Sears, Roebuck and Co.",Retail Store and automotive center,Economic,Plant Closing
2018,6/4/2018,"Van Trans, LLC & Attendant, LLC",Transportation,Contract Loss/End,Plant Layoff
2018,5/29/2018,"Tahari ASL, LLC",Provides online clothing,Economic,Plant Closing
2018,3/15/2018,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","Hobby, Toy and Game Store",Economic,Plant Closing
2018,3/15/2018,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","Hobby, Toy and Game Store",Economic,Plant Closing
2018,3/15/2018,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","Hobby, Toy and Game Store",Economic,Plant Closing
2018,3/15/2018,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us","Hobby, Toy and Game Store",Economic,Plant Closing
2018,5/11/2018,Munchery,Online food ordering and meal delivery service,Economic,Plant Closing
2018,12/29/2017,"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)",Warehousing/Distribution and after  s service,Economic,Plant Unit Closing
2018,5/31/2018,"Millennium Medical Staffing, Inc.",Home health care service,Acquisition/Sale,Plant Closing
